1,35
2,22
2,40
2,41
3,6
3,11
3,15
3,17
3,19
3,23
3,24
3,25
3,39
3,40
3,47
4,5
4,27
4,38
5,42
6,13
6,14
6,50
7,14
7,23
7,27
7,43
7,45
7,48
8,31
8,38
9,38
10,14
10,26
10,43
11,12
11,16
11,25
11,30
11,37
11,47
12,17
12,19
12,32
12,37
12,42
13,21
14,16
14,48
16,28
16,29
17,20
17,30
17,34
17,46
17,50
19,29
19,32
19,47
20,39
20,46
23,39
23,43
23,48
24,39
24,45
24,49
25,34
25,37
25,43
25,44
25,46
25,47
26,49
29,35
29,43
29,50
30,34
30,36
30,47
30,48
32,34
32,37
34,36
36,47
36,50
37,46
40,45
43,48
44,48
