1	9 
2	6 
3	5 
4	2 
5	9 
6	5 
7	1 
8	8 
9	2 
10	3 
11	2 
12	1 
13	4 
14	2 
15	1 
16	4 
17	3 
18	1 
19	7 
20	2 
21	8 
22	7 
23	6 
24	7 
25	9 
26	1 
27	5 
28	2 
29	8 
30	4 
31	3 
32	1 
33	8 
34	4 
35	8 
36	2 
37	4 
38	9 
39	5 
40	2 
41	7 
42	2 
43	9 
44	9 
45	8 
46	2 
47	8 
48	1 
49	2 
50	1 
51	3 
52	6 
53	4 
54	8 
55	4 
56	9 
57	4 
58	5 
59	1 
60	7 
61	6 
62	4 
63	7 
64	3 
65	7 
66	5 
67	1 
68	2 
69	2 
70	8 
71	9 
72	6 
73	3 
74	6 
75	1 
76	6 
77	2 
78	9 
79	8 
80	2 
81	3 
82	8 
83	8 
84	8 
85	3 
86	4 
87	6 
88	2 
89	7 
90	7 
91	4 
92	6 
93	2 
94	9 
95	4 
96	8 
97	6 
98	4 
99	2 
100	4 
